study_hours,attendance_percent,assignment_percent,previous_marks,final_marks
1,75,44,90,34.8
8,85,73,93,47.2
7,85,41,49,21.2
5,76,77,93,46.6
5,94,76,42,31.5
9,81,40,69,33.5
1,58,84,65,31.0
7,90,62,55,36.5
3,81,86,36,25.1
1,84,37,85,31.0
6,81,46,57,40.3
10,80,67,78,38.8
8,59,47,62,25.2
8,80,56,59,42.4
8,91,78,93,63.7
8,68,44,41,20.0
6,82,79,83,45.0
2,56,41,84,33.0
9,70,46,60,38.6
5,75,73,52,30.0
6,100,87,35,36.6
4,64,46,96,42.0
2,67,54,97,42.3
10,73,96,50,38.3
8,100,100,37,41.2
7,94,73,43,30.8
5,56,64,39,23.1
9,65,57,89,40.4
6,92,75,93,51.8
5,57,74,45,25.9
5,94,54,84,45.8
3,67,36,46,26.1
1,97,44,59,33.9
6,68,98,74,45.9
9,74,62,82,42.5
1,85,66,92,45.0
9,60,65,37,23.5
9,80,86,47,39.2
3,78,39,53,26.8
7,91,40,55,41.0
2,100,53,100,54.8
8,85,67,86,48.0
8,73,79,56,34.2
4,73,67,99,41.5
1,74,64,67,39.4
10,92,96,68,50.4
5,69,45,63,32.3
9,62,72,44,23.3
7,70,70,96,50.1
8,56,66,35,26.4
8,59,88,46,28.5
2,59,52,50,22.4
4,90,97,53,43.0
5,88,56,43,30.9
5,87,70,36,30.0
1,76,69,79,39.3
6,87,91,98,53.4
2,62,63,43,25.7
8,96,53,54,42.4
7,78,36,68,22.6
10,98,59,96,50.7
8,62,89,80,44.7
4,77,35,85,37.4
10,87,94,73,47.9
5,77,70,62,29.8
4,75,44,48,27.8
10,62,54,92,48.4
4,72,71,88,37.1
1,65,55,36,25.0
5,68,42,82,33.9
8,86,78,40,34.9
2,83,79,83,40.6
5,82,42,89,39.1
2,71,53,43,30.2
7,99,51,63,41.4
5,59,78,43,35.7
4,70,83,72,45.1
3,60,82,96,46.5
6,70,96,40,41.3
7,99,85,61,47.0
10,71,56,99,49.3
5,96,42,54,31.8
2,77,75,43,31.0
9,87,95,67,44.5
7,76,99,68,49.0
8,67,50,78,32.0
1,90,50,55,34.9
4,99,37,98,44.6
8,67,44,69,37.5
9,90,71,53,42.0
5,67,71,98,52.9
9,87,59,96,51.7
9,91,55,67,33.9
4,75,89,36,31.6
9,88,65,74,38.9
3,67,88,71,37.9
3,58,98,44,38.0
7,59,55,76,37.5
7,75,48,90,38.5
2,96,97,41,34.7
9,60,76,82,42.2
2,75,54,44,21.5
9,87,76,84,45.9
1,64,68,62,33.0
8,88,94,35,41.9
8,69,51,98,45.8
8,92,100,45,33.2
7,81,96,74,48.6
5,80,46,46,28.1
8,63,45,96,41.9
3,76,70,83,48.4
8,94,37,88,34.8
6,55,54,63,27.1
5,89,63,65,41.3
6,77,98,76,40.7
6,88,100,86,58.8
1,85,45,90,41.6
2,74,93,36,35.0
3,69,41,78,30.8
2,83,84,42,36.8
